what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552110481
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552110763
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1305552115560
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552115903
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552116231
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1305552120575
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552120856
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552121153
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552132247
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552132278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552132294
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552152278
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1305552152325
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1305552161794
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552163122
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552271185
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552275544
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1305552280153
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552302138
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1305552344200
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1305552344263
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552346044
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552367919
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552371028
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305552538185
